sal_code_2021,sal_name_2021,state_code_2021,state_name_2021,gccsa_code_2021,gccsa_name_2021
20917,Ferntree Gully,2,Victoria,2GMEL,Greater Melbourne
20918,Ferny Creek,2,Victoria,2GMEL,Greater Melbourne
20920,Fingal (Vic.),2,Victoria,2GMEL,Greater Melbourne
20924,Fitzroy (Vic.),2,Victoria,2GMEL,Greater Melbourne
20925,Fitzroy North,2,Victoria,2GMEL,Greater Melbourne
20929,Flemington,2,Victoria,2GMEL,Greater Melbourne
20930,Flinders (Vic.),2,Victoria,2GMEL,Greater Melbourne
20932,Flowerdale (Vic.),2,Victoria,2GMEL,Greater Melbourne
20935,Footscray,2,Victoria,2GMEL,Greater Melbourne
20936,Forbes (Vic.),2,Victoria,2GMEL,Greater Melbourne
20937,Forest Hill (Vic.),2,Victoria,2GMEL,Greater Melbourne
20947,Frankston,2,Victoria,2GMEL,Greater Melbourne
20948,Frankston North,2,Victoria,2GMEL,Greater Melbourne
20949,Frankston South,2,Victoria,2GMEL,Greater Melbourne
20950,Fraser Rise,2,Victoria,2GMEL,Greater Melbourne
20965,Gardenvale,2,Victoria,2GMEL,Greater Melbourne
20966,Garfield,2,Victoria,2GMEL,Greater Melbourne
20967,Garfield North,2,Victoria,2GMEL,Greater Melbourne
20979,Gembrook,2,Victoria,2GMEL,Greater Melbourne
20981,Gentle Annie,2,Victoria,2GMEL,Greater Melbourne
20995,Gilderoy,2,Victoria,2GMEL,Greater Melbourne
21001,Gisborne,2,Victoria,2GMEL,Greater Melbourne
21002,Gisborne South,2,Victoria,2GMEL,Greater Melbourne
21004,Gladstone Park,2,Victoria,2GMEL,Greater Melbourne
21005,Gladysdale,2,Victoria,2GMEL,Greater Melbourne
21009,Glen Huntly,2,Victoria,2GMEL,Greater Melbourne
21010,Glen Iris (Vic.),2,Victoria,2GMEL,Greater Melbourne
21013,Glen Waverley,2,Victoria,2GMEL,Greater Melbourne
21020,Glenburn,2,Victoria,2GMEL,Greater Melbourne
21047,Glenroy (Vic.),2,Victoria,2GMEL,Greater Melbourne
21059,Goldie,2,Victoria,2GMEL,Greater Melbourne
21079,Gowanbrae,2,Victoria,2GMEL,Greater Melbourne
21087,Grangefields,2,Victoria,2GMEL,Greater Melbourne
21104,Greensborough,2,Victoria,2GMEL,Greater Melbourne
21105,Greenvale (Vic.),2,Victoria,2GMEL,Greater Melbourne
21115,Gruyere,2,Victoria,2GMEL,Greater Melbourne
21121,Guys Hill,2,Victoria,2GMEL,Greater Melbourne
21124,Hadfield,2,Victoria,2GMEL,Greater Melbourne
21125,Hallam,2,Victoria,2GMEL,Greater Melbourne
21131,Hampton (Vic.),2,Victoria,2GMEL,Greater Melbourne
21132,Hampton East,2,Victoria,2GMEL,Greater Melbourne
21133,Hampton Park,2,Victoria,2GMEL,Greater Melbourne
21139,Harkaway,2,Victoria,2GMEL,Greater Melbourne
21140,Harkness,2,Victoria,2GMEL,Greater Melbourne
21145,Hastings (Vic.),2,Victoria,2GMEL,Greater Melbourne
21152,Hawthorn (Vic.),2,Victoria,2GMEL,Greater Melbourne
21153,Hawthorn East,2,Victoria,2GMEL,Greater Melbourne
21158,Healesville,2,Victoria,2GMEL,Greater Melbourne
21159,Heath Hill,2,Victoria,2GMEL,Greater Melbourne
21161,Heathcote Junction,2,Victoria,2GMEL,Greater Melbourne
21163,Heatherton,2,Victoria,2GMEL,Greater Melbourne
21165,Heathmont,2,Victoria,2GMEL,Greater Melbourne
21167,Heidelberg,2,Victoria,2GMEL,Greater Melbourne
21168,Heidelberg Heights,2,Victoria,2GMEL,Greater Melbourne
21169,Heidelberg West,2,Victoria,2GMEL,Greater Melbourne
21176,Hesket,2,Victoria,2GMEL,Greater Melbourne
21185,Highett,2,Victoria,2GMEL,Greater Melbourne
21193,Hillside (Melton - Vic.),2,Victoria,2GMEL,Greater Melbourne
21195,Hmas Cerberus,2,Victoria,2GMEL,Greater Melbourne
21196,Hoddles Creek,2,Victoria,2GMEL,Greater Melbourne
